SANDRE;code_omnidia
4771;BALT
4773;ASTP
4775;CRTL
4777;EUCA
4779;EUTO
4782;ISTH
4786;CTAM
4791;BACT
4795;CWAI
4802;BDSI
4804;TFAV
4806;ACTN
4807;ASEN
4808;AULD
4811;CORE
4814;LDAN
4816;BELL
4818;DITY
4819;DBRI
4820;LITH
4821;LUND
4822;STRT
4825;PODO
4826;POST
4827;STPX
4830;GUIF
4835;RHEB
4840;DETU
4841;PORO
4843;SKCO
4845;TDEC
4846;THGR
4847;THLV
4848;TNOR
4850;TROT
4851;TSUB
4860;AFOR
4861;ASGL
4865;GSER
4866;LICM
4867;PLGR
4868;RHAB
4869;RAPH
4870;STRI
4873;THNI
4878;NPGC
4881;STMB
4886;CCLO
4891;NIPG
6600;APAC
6601;AHEM
6602;AFGR
6603;AGRA
6604;CGAI
6605;CERE
6606;CRTF
6607;CLPA
6608;CEPO
6609;CARC
6610;CAAM
6612;CTPU
6613;DSUR
6614;DANC
6615;DEHR
6616;DELO
6617;DEPA
6618;DESS
6619;DELT
6621;DHQU
6623;DHMA
6624;DMES
6626;DPRO
6627;DIAT
6628;DTEL
6630;DTMO
6631;DVUL
6633;DVCA
6634;DVCO
6640;DFUL
6642;FARC
6645;FBCP
6648;FBRE
6650;FCLA
6654;FCAP
6658;FCVA
6666;FCRO
6667;FDEL
6671;FFAM
6674;FFON
6678;FGOU
6680;FGRT
6684;FILI
6685;FLAP
6686;FLEP
6687;FLDU
6688;FLMA
6690;FNAN
6693;FPAR
6694;FPSC
6695;FPSU
6696;FPIN
6697;FPLA
6698;FPIT
6700;FPCO
6701;FPSG
6706;FRUM
6709;FTAU
6710;FTOB
6711;FTPA
6712;FTTU
6713;FTEN
6714;FTET
6716;FUDA
6718;FUBI
6720;FULN
6722;FVAU
6724;FVIR
6727;FVSS
6728;FZEL
6732;GHAM
6734;HAAA
6735;MMAR
6744;OCAN
6745;OMRN
6746;OMAR
6747;OOLS
6748;OBIN
6751;PSBR
6753;PPSC
6754;PPCO
6755;PZEI
6760;SPWI
6761;SCON
6762;SCVT
6763;SELI
6764;SRPI
6765;STLA
6766;SLEP
6767;SLDU
6768;SPIN
6769;SPLT
6771;SAAC
6772;SAAN
6773;SAOS
6774;SARA
6775;SAFF
6776;SAMP
6779;SAMD
6780;SAMT
6781;SBER
6782;SYBI
6783;SCAP
6785;SDOR
6786;SFAM
6787;SFSC
6788;SFTR
6789;SGOU
6791;SYNA
6792;SPAR
6793;SPSC
6794;SYPA
6795;SPUE
6796;SPUL
6797;SYPL
6798;SPLA
6799;SPMA
6800;SPMI
6801;SPNA
6802;SYRE
6803;SRUM
6804;SRFA
6805;SRFR
6806;SRME
6807;SRSC
6809;STBG
6810;STAT
6811;STFA
6813;STOB
6814;STPV
6815;SYNT
6816;SULN
6817;SUAE
6818;SUAM
6819;SUBI
6820;SULC
6821;SUDA
6822;SUOX
6823;SUOM
6824;SVAU
6826;SVTR
6827;TBIN
6828;TFEN
6829;TFEA
6830;TFEG
6831;TFIN
6832;TFLO
6833;TQUA
6834;TFAS
6835;TPAR
6836;TELL
6837;TGLA
6838;TLAC
6839;TLCA
6841;TLEL
6842;TLEG
6843;TLEU
6844;TPER
6845;TRUP
6847;UBIC
6849;UULN
6850;AAFF
6852;AAMP
6854;AAPE
6858;AAUS
6859;AAHE
6860;AAPA
6861;AAVE
6862;ABAH
6863;ABTH
6865;ABSU
6867;ABCH
6871;ABAN
6872;ABIN
6873;ABPA
6880;ACOA
6881;ACEL
6882;ACON
6883;ACBR
6885;ACUR
6899;AEXA
6903;AEHA
6904;AEXI
6905;AFLE
6909;AGES
6910;AGIB
6914;AGRI
6915;AGIN
6916;AGEL
6917;AGHY
6921;AHLA
6922;AHAE
6924;AHEL
6925;AHIN
6928;AINF
6929;AING
6932;AJOH
6934;AKOL
6938;AKDE
6940;ALVA
6942;ALQU
6944;ALAA
6945;ALFR
6947;ALRO
6948;ALAR
6949;ALBP
6951;ALFM
6955;ALAB
6956;ALAE
6962;ALAP
6963;ALSR
6968;ALEC
