AFNOR;SANDRE;DENOMINATION;CL1;CL2;CL3;CL4;CL5;CL6;CL7;Val.Ind.;Origine
AACU;7091;Amphora acutiuscula Kützing                                                                                                               ;0;0,6446;0,17182;0,16854;0,01504;0;0;1,161394246;L-P
AAEQ;7092;Amphora aequalis Krammer                                                                                                                  ;0,00078;0,00441;0,03557;0,2491;0,58591;0,12264;0,00159;1,093516944;T-Cor
AAFF;6850;Achnanthes affinis Grunow in Cleve et Grunow                                                                                              ;0;0,00003;0,00943;0,06283;0,2362;0,4588;0,23271;0,946809598;T-Cor
AAHE;6859;Achnanthes austriaca var, helvetica Hustedt                                                                                               ;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589;0,945001197;T-Cor
AALA;7083;Amphiprora alata (Ehrenberg) Kützing var, alata                                                                                           ;0,13583;0,37705;0,34229;0,14483;0;0;0;0,901687493;T-Cor
AALG;31656;Achnanthes alteragracillima Lange-Bertalot                                                                                                ;0;0;0;0,01588;0,55939;0,42162;0,00311;1,182759238;T-Cor
AAMB;8554;Aulacoseira ambigua (Grunow) Simonsen                                                                                                     ;0,00774;0,02737;0,12454;0,41909;0,39255;0,02814;0,00058;0,983506197;L-P
AAMC;10270;Aulacoseira ambigua f, curvata Skabicevsky                                                                                                ;0,00774;0,02737;0,12454;0,41909;0,39255;0,02814;0,00058;0,983506197;T-Cor
AAMO;6851;Achnanthes amoena Hustedt                                                                                                                 ;0;0;0,08847;0,74346;0,10848;0,01718;0,04241;1,279183781;T-Cor
AAMP;6852;Achnanthes amphicephala Hustedt                                                                                                           ;0,00019;0,00111;0,01334;0,06801;0,20781;0,38313;0,32641;0,906358419;T-Cor
AANA;34770;Achnanthes anastasiae Kaczmarska                                                                                                          ;0;0;0,00007;0,00051;0,02374;0,46101;0,51467;1,166784123;T-Cor
AAND;6853;Achnanthes andicola (Cleve) Hustedt var, andicola                                                                                         ;0,23732;0,32221;0,26065;0,14338;0,02984;0,00659;0,00002;0,803495135;T-Cor
AANE;;Achnanthes andicola (Cleve) Hustedt var, elongata Gonzalves & H,P,Gandhi                                                                  ;0,23732;0,32221;0,26065;0,14338;0,02984;0,00659;0,00002;0,803495135;T-Cor
AASI;35821;Achnanthidium acsiae Wojtal Morales Van de Vijver et Ector                                                                                ;0,00019;0,00111;0,01334;0,06801;0,20781;0,38313;0,32641;0,906358419;T-Cor
AATG;31660;Achnanthidium alteragracillima (Lange-Bertalot)Round et Bukhtiyarova                                                                      ;0;0;0;0,01588;0,55939;0,42162;0,00311;1,182759238;L-P
AATO;6856;Achnanthes atomus Hustedt                                                                                                                 ;0,00175;0,0001;0,00326;0,01179;0,05056;0,1714;0,76114;1,318905285;T-Cor
AAUS;6858;Achnanthes austriaca Hustedt var, austriaca                                                                                               ;0;0;0;0,00523;0,09293;0,55106;0,35078;1,111991361;T-Cor
AAVE;6861;Achnanthes austriaca var, ventricosa Krasske                                                                                              ;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589;0,945001197;T-Cor
ABGE;;Achnanthes biasolettiana var, genuina A, Cleve-Euler                                                                                      ;0;0;0,00417;0,01883;0,04608;0,05322;0,8777;1,478757859;T-Cor
ABIA;6864;Achnanthes biasolettiana Grunow in Cleve et Grunow var, biasolettiana                                                                     ;0;0;0,00417;0,01883;0,04608;0,05322;0,8777;1,478757859;T-Cor
ABIO;32063;Achnanthes bioretii Germain                                                                                                               ;0;0,00049;0,00625;0,03205;0,09728;0,53062;0,33332;1,067874618;T-Cor
ABIP;32669;Achnanthes biporoma Hohn et Hellerman                                                                                                     ;0;0;0;0,45728;0,37364;0,16909;0;1,030376401;T-Cor
ABIT;32378;Achnanthes biasolettiana f, anormale                                                                                                      ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ABMI;;Achnanthes biasolettiana var, minuta Woronichin                                                                                           ;0;0;0,00417;0,01883;0,04608;0,05322;0,8777;1,478757859;T-Cor
ABOY;32598;Achnanthes boyei Østrup                                                                                                                   ;0,00391;0,03418;0,11119;0,20825;0,38276;0,24807;0,01165;0,836563684;T-Cor
ABPA;6873;Achnanthes brevipes var, parvula (Kützing) Cleve                                                                                          ;0;0,45753;0,43844;0,08787;0,01616;0;0;1,076796228;T-Cor
ABRT;10552;Achnanthidium bioretii (Germain) Edlund                                                                                                   ;0;0,00049;0,00625;0,03205;0,09728;0,53062;0,33332;1,067874618;T-Cor
ABRY;10555;Adlafia bryophila (Petersen) Lange-Bertalot in Moser & al,                                                                                ;0,0006;0;0,00011;0,00051;0,00788;0,03993;0,95097;1,591224591;L-P
ABSB;32403;Achnanthes biasolettiana var, sublinearis Grunow in Van Heurck                                                                            ;0;0;0,08847;0,74346;0,10848;0,01718;0,04241;1,279183781;T-Cor
ABSU;6865;Achnanthes biasolettiana var, subatomus Lange-Bertalot                                                                                    ;0,00002;0,00023;0,00208;0,02422;0,08212;0,37888;0,51245;1,082277769;T-Cor
ACAC;7097;Amphora coffeaeformis var, acutiuscula (Kützing) Rabenhorst                                                                               ;0;0,6446;0,17182;0,16854;0,01504;0;0;1,161394246;T-Cor
ACAF;20681;Achnanthidium affine (Grun) Czarnecki                                                                                                     ;0;0,00003;0,00943;0,06283;0,2362;0,4588;0,23271;0,946809598;T-Cor
ACBI;30934;Achnantheiopsis biporoma (Hohn et Hellerman) Lange-Bertalot                                                                               ;0;0;0;0,45728;0,37364;0,16909;0;1,030376401;T-Cor
ACBP;32668;Achnanthidium biporomum (Hohn et Hellerman) Czarnecki                                                                                     ;0;0;0;0,45728;0,37364;0,16909;0;1,030376401;T-Cor
ACBR;6883;Achnanthes conspicua var, brevistriata Hustedt                                                                                            ;0,00095;0,0085;0,03608;0,18834;0,59907;0,16587;0,00119;1,095668465;T-Cor
ACCL;20697;Achnanthidium clevei (Grunow in Cleve et Grunow) Czarnecki var, clevei                                                                    ;0;0,00048;0,03719;0,2913;0,62246;0,04803;0,00054;1,164317519;T-Cor
ACCR;20702;Achnanthidium clevei var, rostratum (Hustedt) Edlund in Czarnecki et Edlund                                                               ;0;0;0;0,08871;0,86633;0,04496;0;1,4648647;T-Cor
ACDA;32702;Achnantheiopsis daui (Foged) Lange-Bertalot                                                                                               ;0,00007;0,00077;0,01309;0,12939;0,27152;0,45979;0,12537;0,935359326;T-Cor
ACDE;32767;Achnantheiopsis delicatula (Kützing) Lange-Bertalot                                                                                       ;0,00064;0,1203;0,3317;0,38469;0,15723;0,00545;0;0,898903576;T-Cor
ACEC;10572;Achnanthidium exiguum var, constrictum (Grunow) Andresen Stoermer et Kreis                                                                ;0;0,07126;0,30533;0,454;0,0901;0,07542;0,00388;0,936181859;T-Cor
ACEN;32664;Achnantheiopsis engelbrechtii (Cholnoky) Lange-Bertalot                                                                                   ;0;0;0,00747;0,85336;0,12602;0,0127;0,00045;1,450010025;T-Cor
ACGT;10580;Achnanthidium convergens f, anormale                                                                                                      ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ACHA;32434;Achnantheiopsis hauckiana (Grunow) Lange-Bertalot                                                                                         ;0,00241;0,01337;0,11235;0,68818;0,15735;0,02618;0,00015;1,207905611;T-Cor
ACHL;6875;Achnanthes chlidanos Hohn et Hellerman                                                                                                    ;0;0;0,00919;0,01578;0,16575;0,41596;0,39332;0,997215738;T-Cor
ACHT;31201;Achnanthes sp, f, anormale                                                                                                                ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ACLD;31650;Achnanthes caledonica Lange-Bertalot                                                                                                      ;0;0;0;0,01662;0,1164;0,18437;0,68261;1,210183369;T-Cor
ACLE;6877;Achnanthes clevei Grunow var, clevei                                                                                                      ;0;0,00048;0,03719;0,2913;0,62246;0,04803;0,00054;1,164317519;T-Cor
ACLI;10603;Achnanthidium lineare W, Smith                                                                                                            ;0;0;0;0;0;0,00154;0,99846;1,66406364;L-P
ACMG;31659;Achnanthidium minutissimum var, gracillima (Meister) Bukhtiyarova                                                                         ;0;0;0;0,01588;0,55939;0,42162;0,00311;1,182759238;T-Cor
ACNP;32629;Achnanthidium pusillum (Grun,in Cl, et Grun) Czarnecki                                                                                    ;0;0;0,05823;0,15293;0,21421;0,40715;0,16749;0,839413572;T-Cor
ACOF;10331;Amphora coffeaeformis (Agardh) Kützing var, coffeaeformis                                                                                 ;0,04121;0,69036;0,26548;0,0016;0,0012;0;0,00015;1,250648739;L-P
ACON;6882;Achnanthes conspicua A,Mayer var, conspicua                                                                                               ;0,00095;0,0085;0,03608;0,18834;0,59907;0,16587;0,00119;1,095668465;T-Cor
ACOP;7101;Amphora copulata (Kützing) Schoeman et Archibald var, copulata                                                                            ;0,00078;0,00441;0,03557;0,2491;0,58591;0,12264;0,00159;1,093516944;L-P
ACPG;32706;Achnantheiopsis grana (Hohn et Hellerman) Lange-Bertalot                                                                                  ;0;0;0,01642;0,1248;0,32972;0,43083;0,09823;0,938891784;T-Cor
ACPO;32637;Achnantheiopsis œstrupii (Cleve-Euler) Lange-Bertalot                                                                                     ;0;0;0;0,1031;0,09628;0,80062;0;1,369648309;T-Cor
ACRA;6884;Achnanthes crassa Hustedt                                                                                                                 ;0;0;0;0,00122;0,71935;0,27942;0;1,302067159;T-Cor
ACRB;32428;Achnantheiopsis robustior Lange-Bertalot                                                                                                  ;0;0;0;0,01673;0,36739;0,33355;0,28233;0,949753124;T-Cor
ACRM;28345;Amphora crameri Foged                                                                                                                     ;0,04121;0,69036;0,26548;0,0016;0,0012;0;0,00015;1,250648739;T-Cor
ACRO;6879;Achnanthes clevei var, rostrata Hustedt                                                                                                   ;0;0;0;0,08871;0,86633;0,04496;0;1,4648647;T-Cor
ACRT;10338;Achnanthidium crassum f, anormale                                                                                                         ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ACSD;32430;Achnanthes cassida Carter                                                                                                                 ;0;0;0;0,00365;0,06398;0,93236;0;1,564056833;T-Cor
ACTT;9350;Achnanthes catenata Bily et Marvan                                                                                                        ;0;0;0,00321;0,03174;0,2943;0,39768;0,27307;0,939787032;T-Cor
ACUN;8551;Actinoptychus undulatus (Bailey) Ralfs in Pritchard                                                                                       ;0;0,89109;0,09573;0,01318;0;0;0;1,503565586;T-Cor
ACUT;10782;Achnanthes curtissima f, anormale                                                                                                         ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ACVT;31653;Achnanthes convergens f, anormale                                                                                                         ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ADAF;10360;Aulacoseira distans var, africana (O, Müller) Simonsen                                                                                    ;0;0;0;0,00318;0,00223;0,05298;0,9416;1,577488527;T-Cor
ADAO;6886;Achnanthes daonensis Lange-Bertalot                                                                                                       ;0;0;0,0015;0,00699;0,06144;0,17681;0,75326;1,309474159;T-Cor
ADAS;43180;Achnanthidium anastasiae (Kaczmarska) Chudaev et Gololobova                                                                               ;0;0;0,00007;0,00051;0,02374;0,46101;0,51467;1,166784123;T-Cor
ADAT;10365;Achnanthidium atomus (Hustedt) Monnier, Lange-Bertalot et Ector                                                                           ;0,00175;0,0001;0,00326;0,01179;0,05056;0,1714;0,76114;1,318905285;L-P
ADAU;6887;Achnanthes daui Foged var, daui                                                                                                           ;0,00007;0,00077;0,01309;0,12939;0,27152;0,45979;0,12537;0,935359326;T-Cor
ADBA;35845;Achnanthidium barbei Le Cohu et Pérès                                                                                                     ;0,00019;0,00111;0,01334;0,06801;0,20781;0,38313;0,32641;0,906358419;T-Cor
ADBI;9355;Achnanthidium biasolettianum (Grunow in Cl, et Grun,) Lange-Bertalot var, biasolettianum                                                  ;0;0;0,00417;0,01883;0,04608;0,05322;0,8777;1,478757859;T-Cor
ADBO;31324;Achnanthidium bioretii (Germain) Monnier Lange-Bertalot et Ector                                                                          ;0;0,00049;0,00625;0,03205;0,09728;0,53062;0,33332;1,067874618;T-Cor
ADBS;31682;Achnanthidium biasolettianum var, subatomus (Hustedt) Lange-Bertalot                                                                      ;0,00002;0,00023;0,00208;0,02422;0,08212;0,37888;0,51245;1,082277769;T-Cor
